COMM_NAME,Date,WPI
Masur,1996-06,207.5
Urad,1996-06,227.1
Potato,1996-06,188
Sweet Potato,1996-06,161
Onion,1996-06,108.5
Tapioca,1996-06,132.7
Ginger,1996-06,167.8
Peas,1996-06,9999.9
Tomato,1996-06,9999.9
Cauliflower,1996-06,9999.9
BRINJAL,1996-06,143.4
OKRA,1996-06,106.2
CABBAGE,1996-06,157.6
Banana,1996-06,157.5
Mango,1996-06,137.7
apple,1996-06,9999.9
Orange,1996-06,344.5
Cashewnuts,1996-06,117.8
Coconut,1996-06,107.2
Papaya,1996-06,139.4
Grapes,1996-06,9999.9
PINEAPPLE,1996-06,157.6
GUAVA,1996-06,165.9
LITCHI,1996-06,194.6
SAPOTA,1996-06,134.7
Rice,1996-07,127.9
Wheat,1996-07,124.3
Jowar,1996-07,175.5
Bajra,1996-07,147.9
Maize,1996-07,163.8
Barley,1996-07,135.3
Ragi,1996-07,149.4
Gram,1996-07,86.6
Arhar,1996-07,177.3
Moong,1996-07,172.8
Masur,1996-07,215
Urad,1996-07,225.5
Potato,1996-07,177
Sweet Potato,1996-07,161
Onion,1996-07,103.8
Tapioca,1996-07,152.7
Ginger,1996-07,169.4
Peas,1996-07,9999.9
Tomato,1996-07,9999.9
Cauliflower,1996-07,9999.9
BRINJAL,1996-07,136.7
OKRA,1996-07,137.5
CABBAGE,1996-07,167
Banana,1996-07,152.4
Mango,1996-07,156.2
apple,1996-07,9999.9
Orange,1996-07,296.9
Cashewnuts,1996-07,117.6
Coconut,1996-07,105.2
Papaya,1996-07,137.2
Grapes,1996-07,9999.9
PINEAPPLE,1996-07,147.6
GUAVA,1996-07,144.4
LITCHI,1996-07,9999.9
SAPOTA,1996-07,133.5
Rice,1996-08,131
Wheat,1996-08,128.7
Jowar,1996-08,174.2
Bajra,1996-08,144.4
Maize,1996-08,170.7
Barley,1996-08,136.1
